latitude,City Name,City Number,Temperature,Humidity,Cloudiness,Wind Speed
18.43,La Romana,3500957,78.8,88,75,2.62
37.16,Rongcheng,1786855,69.85,76,0,8.1
6.54,Bria,239899,68.86,97,48,6.53
11.09,Kolondieba,2454934,71.74,92,8,2.73
23.99,Constitucion,4011743,69.8,52,20,5.82
-37.88,Lakes Entrance,2160735,67.87,66,20,5.41
64.9,Leshukonskoye,535839,43.57,98,92,6.42
-3.3,Manacapuru,3663529,84.61,62,0,3.74
42.18,Songjianghe,2034691,48.7,86,0,4.18
52.25,Klyuchi,1503153,39.7,79,32,7.76
40.36,Belmonte,8010472,45.64,64,0,4.41
34.02,Xihe,1808783,35.2,78,76,2.17
29.55,Nushki,1168749,48.34,43,0,2.62
45.76,Mandalgovi,2030065,34.03,59,0,6.87
-24.69,Ampanihy,1078553,53.92,76,0,4.18
-9.35,Nchelenge,175499,75.79,47,92,3.4
42.57,Rodney,6127029,54.52,93,90,8.05
-12.74,Vilhena,3924679,73.72,92,0,1.72
63.93,Muyezerskiy,524100,35.92,99,76,8.21
-4.18,Beberibe,3405924,78.8,78,40,16.11
-9.47,Port Moresby,2088122,82.4,74,40,23.04
60.4,Brae,2654970,44.6,48,36,11.41
5.35,Hobyo,57000,75.79,90,56,12.8
51.29,Airdrie,5882799,26.6,92,90,13.87
13.21,Maine-Soroa,2441447,78.94,66,0,2.73
40.97,Winnemucca,5710360,71.96,25,1,12.75
